material,category,unit,carbon_kg_per_unit,cost_per_unit,source
"Concrete (Standard)","Structure","kg",0.13,0.06,"ICE Database v3.0"
"Concrete (Low-Carbon)","Structure","kg",0.08,0.08,"ICE Database v3.0"
"Steel (Virgin)","Structure","kg",2.30,1.20,"ICE Database v3.0"
"Steel (Recycled)","Structure","kg",0.43,1.35,"ICE Database v3.0"
"Cross-Laminated Timber","Structure","kg",0.50,1.50,"ICE Database v3.0"
"Softwood Timber","Structure","kg",0.45,0.80,"ICE Database v3.0"
"Brick","Envelope","kg",0.22,0.30,"ICE Database v3.0"
"Glass","Envelope","kg",1.44,2.50,"ICE Database v3.0"
"Mineral Wool","Insulation","kg",1.20,1.80,"ICE Database v3.0"
"EPS Insulation","Insulation","kg",3.30,1.10,"ICE Database v3.0"
"Hempcrete","Insulation/Structure","kg",-0.10,2.00,"OpenLCA / Research Papers"
"Aluminium (Virgin)","Envelope","kg",12.79,3.50,"ICE Database v3.0"
"Aluminium (Recycled)","Envelope","kg",1.81,3.80,"ICE Database v3.0"
